,credit_score,first_payment_date,maturity_date,msa,mortgage_insurance_pct,num_units,cltv,dti,original_upb,ltv,interest_rate,postal_code,original_loan_term,num_borrowers,property_valuation_method,max_delinquency,avg_delinquency,months_delinquent,loan_age_max,loan_age_avg,remaining_term_avg,current_rate_avg,current_rate_max,current_rate_min,estimated_ltv_avg,estimated_ltv_max,ever_modified,modification_count,ever_assistance,assistance_count,ever_zero_balance,rate_volatility,credit_score_norm,dti_norm,interest_rate_norm,ltv_norm,num_borrowers_norm,bss_level,delinquency_intensity,modification_intensity,assistance_intensity,eltv_drift,year,quarter_num,serviceability_score
interest_rate,-0.2505766909334034,0.14166388416232936,0.45637140932262826,0.021163531843263788,0.07217330807974678,0.10304013822715441,0.17079608101450788,0.11800160575372394,-0.07127707640982854,0.16975067964478102,1.0,0.07321612518660033,0.4552400405637212,-0.0381642775021045,0.07621572187523133,0.07955559973283494,0.06397039063495755,0.0891569540368447,-0.09616196746975583,-0.0992333756945088,0.4566525997525146,0.9919377573096562,0.9999243185265757,0.9658553870019279,0.08710687979324913,0.05713662287930849,0.04925121585692246,0.04352176065895032,0.08378523077879135,0.07535193530205564,0.04700485490283298,0.05525948260814021,-0.2543805902802052,-0.11800160575369716,-0.5076094969264066,0.22703155621506105,-0.20288729560511692,-0.37127437893227827,0.09752572877897864,0.044827064574433736,0.07994088453488596,0.07396195902731438,,0.3740965233686333,-0.249874629536918
postal_code,-0.008806131372345953,-0.014396600396869593,0.04728826582340357,0.09383917988452341,-0.057665391391746784,-0.027113051303724055,-0.07983862811630477,0.054915810727671356,0.16125436477456054,-0.08133677951061506,0.07321612518660033,1.0,0.04742037700349868,0.043339613140527505,-0.03510219754285028,-0.015744478004927533,-0.011314132020358936,-0.01829805921134484,-0.11091907334719951,-0.11021244175299907,0.06702871379728789,0.07362652362063336,0.07322304061176432,0.07285363112237245,-0.01468561524099353,0.01420161884018013,-0.00778248530437127,-0.00801682523827948,-0.01374520168376686,-0.01225225100352257,0.0795006467341456,-0.004146742296471166,-0.008845377963188109,-0.0549158107276721,-0.08020146019748303,0.025835155995963,0.04250490826689109,-0.03542080134870327,-0.01147471764447421,-0.007496810826373884,-0.007419518368223782,-0.008337855268040496,,-0.0196748710847191,0.006865454297489568
original_loan_term,-0.003532435533261708,0.02681744793414274,0.999962469529338,0.022705554866919053,0.2394486577075707,0.011527580452968294,0.29109636130880656,0.11864888517918608,0.1685032488539322,0.29160089156245755,0.4552400405637212,0.04742037700349868,1.0,-0.03479349219694891,0.04407907654574796,0.03374092655022768,0.02753178199751834,0.03175710397133515,-0.11356233689228777,-0.11257586574358075,0.9743887093722065,0.451982141686128,0.4552821480041737,0.4404303930068351,0.05288014038990159,0.09521819569982963,0.0212861137943414,0.019238083624509246,0.038396323368582404,0.03543184957166033,0.07669007695525892,0.022614779698294243,-0.004207225286272185,-0.11864888517918537,-0.3326901445537139,-0.10710262492288061,-0.0588813595241982,-0.16479887074712848,0.03604871759603575,0.01948489901346232,0.03835572371095125,0.030156560136935837,,0.05860942220105941,-0.23356398871879872
num_borrowers,-0.043562882710292364,0.025838700724404546,-0.034572918010588385,0.018327813611949226,-0.045338839730708,-0.015071298395047386,-0.04682397664874467,-0.073481456209844,0.15391082932843667,-0.04891646987115307,-0.0381642775021045,0.043339613140527505,-0.03479349219694891,1.0,-0.007215746862020966,-0.0594172954309992,-0.04602980424659337,-0.0665311919935274,-0.05939842235979662,-0.05817440923610519,-0.023661857016280808,-0.035838845121701934,-0.03818145817809385,-0.03259864762655311,-0.020640576721405395,0.016175586250247797,-0.031755869127447996,-0.027942418111949793,-0.04950293436956944,-0.047716228094141465,0.04610939768011253,-0.01861653074710773,-0.04407019108833034,0.07348145620984572,0.04510982721256908,0.03864228597818594,0.745453616924432,0.34717507718014673,-0.06496644146416419,-0.02808386539120958,-0.04397230681681973,-0.016845939985605286,,0.014669973697808472,0.24787336823719178
property_valuation_method,-0.026424529483424913,0.0047540311019834336,0.04410209425528423,-0.0005733042517219883,0.10986077706282744,0.023343726755136497,0.0874552461930406,0.015843473231341332,-0.022589652024285197,0.08538397234057492,0.07621572187523133,-0.03510219754285028,0.04407907654574796,-0.007215746862020966,1.0,0.013682758130852148,0.00976962447762356,0.014529141913818022,0.027435700265339463,0.02861139934836171,0.03650017905321714,0.07532685769988241,0.07622424636317277,0.07308673090344885,0.05635618216119822,0.012986631391725196,0.006075001537529254,0.005205991752024892,0.016497399357789683,0.01412871449346929,-0.019716847006067947,0.006295792905793867,-0.026525153345769898,-0.015843473231341693,-0.07428999300927376,-0.0489370576467018,0.0006917532669874969,-0.03950682323053508,0.014364437482474103,0.005150650497050278,0.013668137150608562,0.04975140973014378,,-0.008464670000269408,-0.06329022912653996
max_delinquency,-0.15255331626806135,-0.008237241304537984,0.03366066022014598,0.0016982668852859044,0.0365963993229386,0.021347243414606212,0.0429794363536518,0.0803971454827862,0.008661983292809488,0.040660190240504,0.07955559973283494,-0.015744478004927533,0.03374092655022768,-0.0594172954309992,0.013682758130852148,1.0,0.8865640494693573,0.8298355395895558,0.15435623800719966,0.14390894643561544,0.04231227045063362,0.03534474669241479,0.07970207009884496,-0.018476050862188457,-0.027062288470564994,-0.0817215659717996,0.4992257426057701,0.44613306943680936,0.6679970070491198,0.817230073648103,-0.1459794377565181,0.37240647626150514,-0.15232998850240145,-0.08039714548279187,-0.07298254717304388,-0.024881364093543554,-0.044692447114484266,-0.15795461608918349,0.8147661019414715,0.44575806911532534,0.7765023623445162,-0.030282773958653485,,-0.0038223920916385843,-0.13302074986042353
avg_delinquency,-0.11095484489321242,-0.0037104030813653877,0.027491174456197795,0.0007623197606503643,0.029236037245301848,0.011152089925756888,0.034155488696565,0.0534783102463141,0.006934149894722923,0.032224978115878766,0.06397039063495755,-0.011314132020358936,0.02753178199751834,-0.04602980424659337,0.00976962447762356,0.8865640494693573,1.0,0.7371415513189933,0.07850049590175183,0.06969279931994174,0.04350324039409195,0.03027233639396109,0.0641499229396531,-0.013266340622169437,-0.014823347378097528,-0.04783003808666367,0.41118483096807806,0.3503772218831149,0.4449272218316536,0.6120532222806274,-0.06651676870321675,0.2935540869130683,-0.11091603386166814,-0.05347831024631449,-0.054614515465029156,-0.01606234139333756,-0.03620087323775874,-0.11314696556153095,0.7461991040740491,0.35248701252431175,0.6044821912026258,-0.017365839463122156,,0.0011553863298867928,-0.09518487613409819
months_delinquent,-0.18530074378990286,-0.007495052544041165,0.03167925462791681,-0.0005851984580043349,0.04129088628458513,0.011037890163142655,0.0443956118154443,0.0761669548049126,-0.011634659509987445,0.04269778018784095,0.0891569540368447,-0.01829805921134484,0.03175710397133515,-0.0665311919935274,0.014529141913818022,0.8298355395895558,0.7371415513189933,1.0,0.18418304047500364,0.17110132158980287,0.039367633168710815,0.04654945425834043,0.08927846991016246,-0.001773875294393402,-0.035187662143726456,-0.10728522697394449,0.5552308863712655,0.5000415979526491,0.6261769827854172,0.771098674996523,-0.19166016282106893,0.3442085097596152,-0.18504744848898427,-0.07616695480491432,-0.08024891072219618,-0.02473595147221315,-0.050412264619919336,-0.17475031397173243,0.922760739673138,0.4917211209415162,0.7123664951785041,-0.038579524091751326,,-0.0023154238546977115,-0.14261099422954424
loan_age_max,-0.07105391263915226,-0.06967177116076827,-0.11413402445024223,-0.016182399878585118,-0.05052857253558778,0.04078220803246292,-0.08366216726565005,-0.007196394782531005,-0.25908371785075945,-0.08252222542105331,-0.09616196746975583,-0.11091907334719951,-0.11356233689228777,-0.05939842235979662,0.027435700265339463,0.15435623800719966,0.07850049590175183,0.18418304047500364,1.0,0.9984698315717853,-0.3113670227426512,-0.09750308204969681,-0.09617589507268233,-0.09677372409731559,-0.18738046813314496,-0.453239396213467,0.03466731599387195,0.028475632778796618,0.16770006369244236,0.15686588494179915,-0.8587819222266206,0.00962163079061157,-0.07090595098631089,0.0071963947825254655,-0.031653817370463404,-0.05306044630567023,0.010649642468445717,-0.04240917309583582,0.10317146564511584,0.019940893980974556,0.09031643816565882,-0.181197437305113,,-0.11503747963698828,0.012296721614923924
loan_age_avg,-0.0676251560479729,-0.06926603082333536,-0.11314387648288618,-0.016479792817948556,-0.054962437799409604,0.04056160680349458,-0.08555069998579319,-0.009505197819469468,-0.2565153549117381,-0.08435308039750838,-0.0992333756945088,-0.11021244175299907,-0.11257586574358075,-0.05817440923610519,0.02861139934836171,0.14390894643561544,0.06969279931994174,0.17110132158980287,0.9984698315717853,1.0,-0.3123885471279646,-0.09933888942470766,-0.09925022840838017,-0.09726715533967711,-0.18539976618687454,-0.4476113029508572,0.014106631872420812,0.0099102036064993,0.15952722557825622,0.14566044251292123,-0.8557260281748683,-9.36822647607627e-05,-0.06748031879203024,0.009505197819464833,-0.029187470695975198,-0.05241457569325011,0.011702876753176295,-0.038251443977525994,0.08973799955753708,0.003076370469900599,0.07912919282819378,-0.1790707610122477,,-0.11534557636766432,0.016116613264627287
remaining_term_avg,0.0028951624671297287,0.03941855396654014,0.9744666661001926,0.025185921846122086,0.24152554683005162,0.0027903267879394065,0.2970522865453593,0.11823871689909765,0.21366758464044416,0.2972021891450818,0.4566525997525146,0.06702871379728789,0.9743887093722065,-0.023661857016280808,0.03650017905321714,0.04231227045063362,0.04350324039409195,0.039367633168710815,-0.3113670227426512,-0.3123885471279646,1.0,0.44602645654719214,0.45671315915112626,0.42733888234745193,0.08661960255029605,0.17673647627207228,0.09677927210447597,0.10300108273800149,0.03276532489103819,0.04557236239933488,0.239238652327275,0.07848927390053924,0.0022396698827793484,-0.11823871689909138,-0.31336101071929573,-0.09247684652624315,-0.060334744007503945,-0.15608289198303207,0.06806062728042883,0.10454827532034142,0.06755751747050391,0.06350692150236315,,0.07940014974931003,-0.23208500407802443
current_rate_avg,-0.2435814512200601,0.1412125726072615,0.45311034487013246,0.021145379232427687,0.06729330335335544,0.1022926826857036,0.1663112361201134,0.11412902972891739,-0.0735579260107318,0.1653423795612394,0.9919377573096562,0.07362652362063336,0.451982141686128,-0.035838845121701934,0.07532685769988241,0.03534474669241479,0.03027233639396109,0.04654945425834043,-0.09750308204969681,-0.09933888942470766,0.44602645654719214,1.0,0.991997983659261,0.9894726266517148,0.08853020844277693,0.06253301535581168,-0.029094605405747383,-0.04659616605896952,0.05493998172301098,0.02886459329267257,0.05790182878108147,-0.06573588619479756,-0.2473001839581153,-0.1141290297288968,-0.5021755552489351,0.2276348672605652,-0.20053673483465784,-0.36343427370664977,0.045135846087164276,-0.047839524347443166,0.0256896750253195,0.0757320882734024,,0.3722546354560521,-0.24243259240987086
current_rate_max,-0.2506117645130418,0.14167197300026543,0.4564135768789022,0.021163609907019994,0.07220692439055525,0.10304594213279926,0.17082647710407692,0.11803055768059803,-0.07128238872219708,0.16978116760803277,0.9999243185265757,0.07322304061176432,0.4552821480041737,-0.03818145817809385,0.07622424636317277,0.07970207009884496,0.0641499229396531,0.08927846991016246,-0.09617589507268233,-0.09925022840838017,0.45671315915112626,0.991997983659261,1.0,0.9658750653800923,0.08710797591052924,0.05714745629594035,0.04940555258996904,0.04365312863471759,0.08384704035808575,0.07551820401377357,0.047016444952886226,0.055469613023704026,-0.25441479702348624,-0.1180305576805732,-0.5075620661048852,0.22702180816205855,-0.2029139790343507,-0.37130423575371047,0.09774286074839612,0.04503083370325515,0.08022441649607866,0.07396067308132986,,0.37410906562720625,-0.24992416525006117
current_rate_min,-0.2313799087120202,0.13836619659591987,0.44153660409141127,0.020727510179360108,0.061740319609788846,0.09931761196217867,0.15905210381549434,0.10770309622573446,-0.0749235974153714,0.15819915319766828,0.9658553870019279,0.07285363112237245,0.4404303930068351,-0.03259864762655311,0.07308673090344885,-0.018476050862188457,-0.013266340622169437,-0.001773875294393402,-0.09677372409731559,-0.09726715533967711,0.42733888234745193,0.9894726266517148,0.9658750653800923,1.0,0.08824381766367077,0.06626203706064916,-0.11836397171791485,-0.1305143684412285,0.020888889371800032,-0.02738453645784298,0.06621377016759424,-0.20503292141118745,-0.2349613849253555,-0.10770309622571536,-0.4873153070876965,0.2243134800639646,-0.19450204666558507,-0.34833383719852984,-0.01576051392157079,-0.13708877928448135,-0.04097889854063475,0.07600382127982563,,0.3639976956348,-0.23012558831306318
estimated_ltv_avg,0.01886059143013596,0.022143541611431738,0.0530427826524313,0.009295171856020185,0.024333881099300268,0.21610318579835425,0.05671844421951529,0.025711361631870478,0.016268173724747162,0.05763926450511305,0.08710687979324913,-0.01468561524099353,0.05288014038990159,-0.020640576721405395,0.05635618216119822,-0.027062288470564994,-0.014823347378097528,-0.035187662143726456,-0.18738046813314496,-0.18539976618687454,0.08661960255029605,0.08853020844277693,0.08710797591052924,0.08824381766367077,1.0,0.2423371983455595,-0.021255851556193035,-0.020866421216091856,-0.0283063820192642,-0.029660389489361443,0.1347976710693168,-0.011005749290922802,0.01904146206317711,-0.025711361631868598,-0.056985991239454574,-0.016315246949747716,-0.024704652106986292,-0.026695963329253555,-0.024119223136636732,-0.020336237364141245,-0.022399328576428422,0.9969497284702319,,0.017308684338292173,-0.04330428515197817
estimated_ltv_max,0.036935997662918676,0.01617035748372691,0.09532872610545555,0.009857663872272066,0.03345442678698605,0.03670215280765124,0.05782123176902735,0.00606458815047614,0.1006929617849667,0.05741416105345737,0.05713662287930849,0.01420161884018013,0.09521819569982963,0.016175586250247797,0.012986631391725196,-0.0817215659717996,-0.04783003808666367,-0.10728522697394449,-0.453239396213467,-0.4476113029508572,0.17673647627207228,0.06253301535581168,0.05714745629594035,0.06626203706064916,0.2423371983455595,1.0,-0.06645962082142155,-0.0693528904016953,-0.06329565212412987,-0.07699372598093995,0.5266508080337681,-0.03948387352356547,0.0372281769291544,-0.0060645881504722225,-0.02310973125779509,-0.011281410372129482,-0.0008798045330638384,0.011051124653703732,-0.07096584516225857,-0.06460719569155618,-0.045313881241140316,0.2382017680564348,,0.0237129947931919,-0.01745780567040029
ever_modified,-0.09099078042279843,-0.0039704404100009754,0.02124591505999261,0.0017727955360538536,0.03304425737734573,0.003632967532974003,0.033487346958066065,0.043167860685068206,0.011473381499148403,0.03246554749493273,0.04925121585692246,-0.00778248530437127,0.0212861137943414,-0.031755869127447996,0.006075001537529254,0.4992257426057701,0.41118483096807806,0.5552308863712655,0.03466731599387195,0.014106631872420812,0.09677927210447597,-0.029094605405747383,0.04940555258996904,-0.11836397171791485,-0.021255851556193035,-0.06645962082142155,1.0,0.879455273807845,0.36606729464966437,0.530703369745539,-0.11457925005900567,0.6429817051209366,-0.09088151383630276,-0.04316786068506892,-0.04331198842783742,-0.017577914758400127,-0.023875114989523088,-0.08974347569053887,0.6281448746688685,0.8803146779944998,0.5813075865765094,-0.023826086759248376,,-0.00027489420139582897,-0.07990092195692156
modification_count,-0.07957294282122003,-0.003747432716191734,0.019199877895721244,0.002353889952322831,0.03323657925171618,0.0028820521301266963,0.03274358603524327,0.03825034138451903,0.011665257078210929,0.03187330077597667,0.04352176065895032,-0.00801682523827948,0.019238083624509246,-0.027942418111949793,0.005205991752024892,0.44613306943680936,0.3503772218831149,0.5000415979526491,0.028475632778796618,0.0099102036064993,0.10300108273800149,-0.04659616605896952,0.04365312863471759,-0.1305143684412285,-0.020866421216091856,-0.0693528904016953,0.879455273807845,1.0,0.32198467967872296,0.4750615904223478,-0.12466961561002574,0.6680831118560034,-0.07947448645226415,-0.03825034138451847,-0.03865506051118143,-0.017507685399150458,-0.021084723682493835,-0.07902813186065338,0.5708282326584755,0.9743328425672706,0.5242177653444473,-0.0233896463290995,,-0.0005647344591364663,-0.07199373320817884
ever_assistance,-0.1673770771555287,-0.009925698317685312,0.03830277749724598,0.0029047269562516255,0.044782075159753354,0.025945338678085704,0.053947688153302906,0.10509047169243706,0.018853798720423448,0.05162340232224048,0.08378523077879135,-0.01374520168376686,0.038396323368582404,-0.04950293436956944,0.016497399357789683,0.6679970070491198,0.4449272218316536,0.6261769827854172,0.16770006369244236,0.15952722557825622,0.03276532489103819,0.05493998172301098,0.08384704035808575,0.020888889371800032,-0.0283063820192642,-0.06329565212412987,0.36606729464966437,0.32198467967872296,1.0,0.7848858096879183,-0.14239640528596617,0.2363204630473032,-0.167276298881162,-0.10509047169244276,-0.07738167156497465,-0.030792989605202572,-0.036784503171852626,-0.1791262023117672,0.6261014547715809,0.32238525998045703,0.7743885131942136,-0.03238755100274047,,-0.004074364057334652,-0.15848947415526438
