iter	Passed	Remaining
523	200744	182355
524	201161	182002
525	201469	181552
526	201752	181079
527	202106	180671
528	202424	180230
529	202641	179701
530	202947	179251
531	203250	178799
532	203515	178314
533	203815	177861
534	204107	177401
535	204339	176891
536	204681	176476
537	204924	175975
538	205258	175554
539	205565	175111
540	205828	174630
541	206106	174163
542	206343	173663
543	206725	173284
544	207038	172848
545	207387	172443
546	207708	172014
547	208036	171592
548	208380	171183
549	208665	170726
550	209013	170320
551	209417	169962
552	209769	169560
553	210141	169175
554	210481	168764
555	210823	168355
556	211185	167962
557	211458	167499
558	211728	167034
559	212061	166619
560	212357	166176
561	212708	165776
562	213045	165365
563	213379	164952
564	213775	164588
565	214156	164212
566	214527	163827
567	214923	163463
568	215241	163039
569	215498	162568
570	215877	162191
571	216215	161783
572	216514	161346
573	216865	160949
574	217263	160585
575	217570	160156
576	217948	159778
577	218279	159366
578	218612	158956
579	219052	158624
580	219407	158229
581	219772	157843
582	220166	157477
583	220556	157109
584	220931	156729
585	221396	156413
586	221741	156012
587	222151	155657
588	222674	155380
589	223082	155023
590	223481	154659
591	223813	154250
592	224226	153896
593	224610	153521
594	224937	153108
595	225310	152727
596	225697	152355
597	226063	151968
598	226351	151531
599	226684	151123
600	226979	150690
601	227352	150309
602	227764	149954
603	228231	149635
604	228572	149232
605	228921	148836
606	229389	148517
607	229618	148043
608	229969	147648
609	230322	147255
610	230672	146860
611	231061	146490
612	231475	146135
613	231875	145771
614	232286	145414
615	232625	145013
616	232987	144625
617	233385	144260
618	233703	143846
619	234075	143465
620	234423	143069
621	234755	142664
622	235156	142301
623	235516	141913
624	235841	141505
625	236152	141087
626	236446	140661
627	236830	140288
628	237097	139845
629	237407	139430
630	237823	139075
631	238200	138698
632	238488	138270
633	238841	137879
634	239267	137531
635	239625	137144
636	239982	136756
637	240312	136352
638	240627	135941
639	240918	135516
640	241216	135096
641	241547	134694
642	241818	134260
643	242155	133862
644	242501	133469
645	242839	133073
646	243227	132703
647	243575	132312
648	243909	131913
649	244272	131531
650	244698	131182
651	245017	130776
652	245398	130403
653	245854	130069
654	246223	129690
655	246610	129320
656	247036	128970
657	247472	128625
658	247890	128271
659	248276	127900
660	248599	127496
661	248873	127068
662	249257	126696
663	249681	126344
664	250041	125960
665	250398	125575
666	250815	125219
667	251156	124826
668	251525	124446
669	251912	124076
670	252293	123702
671	252671	123327
672	253045	122950
673	253441	122584
674	253889	122243
675	254334	121899
676	254734	121534
677	255129	121167
678	255530	120803
679	255966	120454
680	256383	120097
681	256736	119710
682	257106	119330
683	257463	118944
684	257807	118553
685	258189	118180
686	258603	117821
687	258921	117418
688	259341	117061
689	259723	116687
690	260112	116316
691	260436	115917
692	260793	115531
693	261153	115148
694	261529	114772
695	261917	114400
696	262241	114001
697	262558	113599
698	262876	113198
699	263281	112834
700	263634	112448
701	263952	112048
702	264337	111676
703	264711	111299
704	265004	110888
705	265350	110499
706	265649	110092
707	266012	109711
708	266402	109341
709	266805	108977
710	267249	108628
711	267678	108274
712	268073	107906
713	268428	107521
714	268765	107130
715	269121	106746
716	269423	106341
717	269739	105942
718	270087	105555
719	270443	105172
720	270830	104801
721	271286	104456
722	271656	104078
723	272004	103692
724	272401	103324
725	272733	102932
726	273080	102546
727	273486	102181
728	273828	101793
729	274262	101439
730	274678	101078
731	275110	100723
732	275585	100383
733	276029	100032
734	276385	99649
735	276831	99298
736	277298	98954
737	277680	98580
738	278076	98210
739	278446	97832
740	278812	97452
741	279195	97078
742	279646	96728
743	280012	96348
744	280365	95964
745	280701	95573
746	281190	95235
747	281635	94882
748	282038	94515
749	282429	94143
750	282804	93766
751	283214	93400
752	283624	93034
753	284105	92692
754	284472	92312
755	284813	91923
756	285211	91554
757	285621	91187
758	285964	90800
759	286322	90417
760	286787	90068
761	287145	89685
762	287592	89330
763	288059	88981
764	288459	88611
765	288842	88236
766	289276	87876
767	289749	87528
768	290116	87148
769	290527	86781
770	291015	86436
771	291462	86079
772	291892	85717
773	292271	85340
774	292701	84977
775	293103	84607
776	293439	84217
777	293860	83852
778	294234	83473
779	294617	83097
780	295031	82729
781	295411	82352
782	295775	81970
783	296177	81599
784	296655	81249
785	297063	80879
786	297494	80516
787	297872	80138
788	298333	79782
789	298729	79409
790	299109	79031
791	299496	78655
792	299994	78308
793	300399	77937
794	301049	77629
795	302057	77411
796	302417	77027
797	302853	76662
798	303273	76292
799	303604	75901
800	303996	75524
801	304414	75154
802	304835	74785
803	305263	74417
804	305556	74016
805	306022	73658
806	306385	73274
807	306804	72904
808	307192	72526
809	307515	72133
810	307829	71738
811	309534	71665
812	310252	71361
813	310744	71005
814	311158	70631
815	311523	70245
816	311933	69870
817	312259	69475
818	312561	69076
819	312858	68676
820	313201	68286
821	313503	67887
822	313777	67483
823	314111	67091
824	314448	66701
825	314903	66335
826	315275	65952
827	315587	65556
828	315890	65159
829	316211	64766
830	316565	64379
831	316889	63987
832	317196	63591
833	317494	63194
834	317802	62799
835	318132	62408
836	318404	62007
837	318679	61606
838	319028	61220
839	319386	60835
840	319661	60435
841	320048	60056
842	320405	59672
843	320755	59286
844	321034	58887
845	321416	58508
846	321758	58121
847	322138	57741
848	322472	57353
849	322781	56961
850	323102	56571
851	323448	56185
852	323760	55794
853	324109	55409
854	324459	55025
855	324746	54630
856	325090	54245
857	325378	53850
858	325642	53452
859	325955	53062
860	326257	52671
861	326583	52283
862	326969	51905
863	327294	51518
864	327573	51124
865	327926	50741
866	328217	50349
867	328571	49967
868	328839	49571
869	329096	49175
870	329467	48795
871	329774	48407
872	330137	48026
873	330406	47633
874	330716	47245
875	331019	46856
876	331356	46473
877	331723	46093
878	332073	45712
879	332439	45332
880	332766	44948
881	333090	44563
882	333329	44167
883	333640	43780
884	333922	43391
885	334193	43000
886	334496	42613
887	334849	42233
888	335204	41853
889	335547	41472
890	335849	41085
891	336229	40709
892	336591	40330
893	336854	39940
894	337201	39559
895	337483	39172
896	337731	38780
897	338100	38403
898	338400	38018
899	338796	37644
900	339193	37269
901	339534	36889
902	339950	36517
903	340309	36139
904	340659	35759
905	340990	35378
906	341431	35008
907	341809	34632
908	342145	34252
909	342530	33876
910	342814	33491
911	343229	33118
912	343626	32744
913	343981	32365
914	344279	31982
915	344644	31604
916	345016	31228
917	345420	30854
918	345732	30472
919	346054	30091
920	346393	29712
921	346835	29341
922	347194	28964
923	347430	28576
924	347689	28191
925	347970	27807
926	348230	27422
927	348546	27042
928	348888	26664
929	349284	26290
930	349600	25910
931	349957	25533
932	350391	25162
933	350730	24783
934	351134	24410
935	351364	24024
936	351735	23649
937	352065	23270
938	352321	22887
939	352667	22510
940	353001	22132
941	353356	21756
942	353722	21380
943	354091	21005
944	354489	20631
945	354889	20257
946	355204	19879
947	355529	19501
948	355770	19119
949	356134	18743
950	356460	18366
951	356778	17988
952	357080	17610
953	357422	17234
954	357718	16855
955	358127	16482
956	358472	16106
957	358836	15731
958	359186	15356
959	359537	14980
960	359879	14604
961	360199	14228
962	360587	13854
963	360855	13475
964	361233	13101
965	361573	12726
966	361878	12349
967	362257	11975
968	362642	11601
969	363003	11226
970	363349	10851
971	363707	10477
972	364092	10103
973	364502	9730
974	364830	9354
975	365130	8978
976	365453	8603
977	365851	8229
978	366186	7854
979	366507	7479
980	366896	7106
981	367202	6730
982	367540	6356
983	367907	5982
984	368222	5607
985	368630	5234
986	368966	4859
987	369432	4487
988	369858	4113
989	370181	3739
990	370529	3365
991	370945	2991
992	371264	2617
993	371601	2243
994	372010	1869
995	372416	1495
996	372808	1121
997	373162	747
998	373442	373
999	373726	0
